mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_country_of_representation,mep_political_group,mep_instagram,mep_URI
2268,Mr,Jonas,Sjöstedt,,,male,Sweden,Göteborg,1964-12-25^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/2268.jpg,mailto:jonas.sjostedt@europarl.europa.eu,,,,,Sweden,The Left group in the European Parliament - GUE/NGL,,https://data.europarl.europa.eu/person/2268
4395,Mr,Mario,Mantovani,,,male,Italy,Arconate,1950-07-28^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/4395.jpg,mailto:mario.mantovani@europarl.europa.eu,,,,,Italy,European Conservatives and Reformists Group,,https://data.europarl.europa.eu/person/4395
34232,Mr,Kristian,Vigenin,Кристиан,Вигенин,male,Bulgaria,Sofia,1975-06-12^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/34232.jpg,mailto:kristian.vigenin@europarl.europa.eu,,,,,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/34232
33998,Mr,Vasile,Dîncu,,,male,Romania,Năsăud,1961-11-25^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/33998.jpg,mailto:vasile.dincu@europarl.europa.eu,,https://x.com/i/flow/login?redirect_after_login=%2FVasileDincu,https://www.facebook.com/vasilesebastiandincu/?locale=ro_RO,,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/33998
2152,Mr,Leoluca,Orlando,,,male,Italy,Palermo,,,https://www.europarl.europa.eu/mepphoto/2152.jpg,mailto:leoluca.orlando@europarl.europa.eu,,https://x.com/leolucaorlando1?lang=en,https://www.facebook.com/leolucaorlandopalermo/,,Italy,Group of the Greens/European Free Alliance,https://www.instagram.com/leolucaorlando/,https://data.europarl.europa.eu/person/2152
28419,Mr,Nicola,Zingaretti,,,male,Italy,Roma,1965-10-11^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28419.jpg,mailto:nicola.zingaretti@europarl.europa.eu,,,,,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,,https://data.europarl.europa.eu/person/28419
95074,Mr,Jeroen,Lenaers,,,male,Netherlands,Stramproy,1984-04-29^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/95074.jpg,mailto:jeroen.lenaers@europarl.europa.eu,http://www.jeroenlenaers.nl/,https://twitter.com/jeroen_lenaers,https://www.facebook.com/jlenaersCDA,,Netherlands,Group of the European People's Party (Christian Democrats),https://www.instagram.com/jeroen_lenaers,https://data.europarl.europa.eu/person/95074
96808,Mr,Pablo,Arias Echeverría,,,male,Spain,Madrid,1970-06-30^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96808.jpg,mailto:pablo.ariasecheverria@europarl.europa.eu,,https://x.com/pabloariase?lang=en,,,Spain,Group of the European People's Party (Christian Democrats),https://www.instagram.com/pabloarias_eu/?igsh=MTJ0M2Z3dWE2Y3owdw%3D%3D&utm_source=qr,https://data.europarl.europa.eu/person/96808
28219,Mr,Daniel,Caspary,,,male,Germany,Karlsruhe,1976-04-04^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28219.jpg,mailto:daniel.caspary@europarl.europa.eu,http://www.caspary.de,https://twitter.com/caspary,https://www.facebook.com/daniel.caspary.mdep/,,Germany,Group of the European People's Party (Christian Democrats),https://www.instagram.com/dcaspary,https://data.europarl.europa.eu/person/28219
96711,Mr,Pascal,Canfin,,,male,France,Arras,1974-08-22^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/96711.jpg,mailto:pascal.canfin@europarl.europa.eu,,https://twitter.com/pcanfin?lang=en,https://www.facebook.com/pascal.canfin.7/,,France,Renew Europe Group,https://www.instagram.com/pascal.canfin/?hl=en,https://data.europarl.europa.eu/person/96711
