mep_identifier	mep_honorific_prefix	mep_given_name	mep_family_name	mep_official_given_name	mep_official_family_name	mep_gender	mep_citizenship	mep_place_of_birth	mep_birthday	mep_death_date	mep_image	mep_email	mep_homepage	mep_twitter	mep_facebook_page	mep_facebook_profile	mep_country_of_representation	mep_political_group	mep_instagram	mep_URI	mep_polgroup	mep_polgrupo_sig
2268	Mr	Jonas	Sj�stedt			male	Suecia	G�teborg	1964-12-25^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/2268.jpg	mailto:jonas.sjostedt@europarl.europa.eu					Suecia	La Izquierda en el Parlamento Europeo-GUE/NGL		https://data.europarl.europa.eu/person/2268		
4395	Mr	Mario	Mantovani			male	Italia	Arconate	1950-07-28^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/4395.jpg	mailto:mario.mantovani@europarl.europa.eu					Italia	Grupo de los Conservadores y Reformistas Europeos		https://data.europarl.europa.eu/person/4395		
34232	Mr	Kristian	Vigenin	????????	???????	male	Bulgaria	Sofia	1975-06-12^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/34232.jpg	mailto:kristian.vigenin@europarl.europa.eu					Bulgaria	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/34232	Bulgarska sotsialisticheska partiy	BSP/???
33998	Mr	Vasile	D�ncu			male	Ruman�a	N?s?ud	1961-11-25^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/33998.jpg	mailto:vasile.dincu@europarl.europa.eu		https://x.com/i/flow/login?redirect_after_login=%2FVasileDincu	https://www.facebook.com/vasilesebastiandincu/?locale=ro_RO		Ruman�a	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/33998		
2152	Mr	Leoluca	Orlando			male	Italia	Palermo			https://www.europarl.europa.eu/mepphoto/2152.jpg	mailto:leoluca.orlando@europarl.europa.eu		https://x.com/leolucaorlando1?lang=en	https://www.facebook.com/leolucaorlandopalermo/		Italia	Grupo de Los Verdes/Alianza Libre Europea	https://www.instagram.com/leolucaorlando/	https://data.europarl.europa.eu/person/2152		
28419	Mr	Nicola	Zingaretti			male	Italia	Roma	1965-10-11^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28419.jpg	mailto:nicola.zingaretti@europarl.europa.eu					Italia	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/28419		
95074	Mr	Jeroen	Lenaers			male	Pa�ses Bajos	Stramproy	1984-04-29^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/95074.jpg	mailto:jeroen.lenaers@europarl.europa.eu	http://www.jeroenlenaers.nl/	https://twitter.com/jeroen_lenaers	https://www.facebook.com/jlenaersCDA		Pa�ses Bajos	Grupo del Partido Popular Europeo	https://www.instagram.com/jeroen_lenaers	https://data.europarl.europa.eu/person/95074		
96808	Mr	Pablo	Arias Echeverr�a			male	Espa�a	Madrid	1970-06-30^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96808.jpg	mailto:pablo.ariasecheverria@europarl.europa.eu		https://x.com/pabloariase?lang=en			Espa�a	Grupo del Partido Popular Europeo	https://www.instagram.com/pabloarias_eu/?igsh=MTJ0M2Z3dWE2Y3owdw%3D%3D&utm_source=qr	https://data.europarl.europa.eu/person/96808	Partido Popular	PP
28219	Mr	Daniel	Caspary			male	Alemania	Karlsruhe	1976-04-04^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28219.jpg	mailto:daniel.caspary@europarl.europa.eu	http://www.caspary.de	https://twitter.com/caspary	https://www.facebook.com/daniel.caspary.mdep/		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/dcaspary	https://data.europarl.europa.eu/person/28219	Christlich Demokratische Union Deutschlands	CDU
96711	Mr	Pascal	Canfin			male	Francia	Arras	1974-08-22^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96711.jpg	mailto:pascal.canfin@europarl.europa.eu		https://twitter.com/pcanfin?lang=en	https://www.facebook.com/pascal.canfin.7/		Francia	Grupo Renovar Europa	https://www.instagram.com/pascal.canfin/?hl=en	https://data.europarl.europa.eu/person/96711	Renaissance	R
1917	Mr	Markus	Ferber			male	Alemania	Augsburg	1965-01-15^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/1917.jpg	mailto:markus.ferber@europarl.europa.eu	http://www.markus-ferber.de/	https://twitter.com/MarkusFerber	https://www.facebook.com/MarkusFerberEU		Alemania	Grupo del Partido Popular Europeo		https://data.europarl.europa.eu/person/1917	Christlich-Soziale Union in Bayern	CSU
28229	Mr	Manfred	Weber			male	Alemania	Niederhatzkofen	1972-07-14^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28229.jpg	mailto:manfred.weber@europarl.europa.eu	http://www.manfredweber.eu/	https://twitter.com/ManfredWeber	https://www.facebook.com/manfred.weber		Alemania	Grupo del Partido Popular Europeo	https://www.instagram.com/manfred.weber/	https://data.europarl.europa.eu/person/28229	Christlich-Soziale Union in Bayern	CSU
37312	Ms	Christel	Schaldemose			female	Dinamarca	Odense	1967-08-04^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/37312.jpg	mailto:christel.schaldemose@europarl.europa.eu	http://www.christels.dk	https://twitter.com/SchaldemoseMEP		https://www.facebook.com/ChristelSchaldemose	Dinamarca	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/37312	Socialdemokratiet	Socialdemokratiet
1909	Mr	Bernd	Lange			male	Alemania	Oldenburg	1955-11-14^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/1909.jpg	mailto:bernd.lange@europarl.europa.eu		https://twitter.com/berndlange		https://www.facebook.com/bernd.lange.europa/	Alemania	Grupo de la Alianza Progresista de Socialistas y Dem�cratas		https://data.europarl.europa.eu/person/1909	Sozialdemokratische Partei Deutschlands	SPD
28390	Ms	Pilar	del Castillo Vera			female	Espa�a	Nador (Marruecos)	1952-07-31^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28390.jpg	mailto:pilar.delcastillo@europarl.europa.eu		http://twitter.com/delcastillop			Espa�a	Grupo del Partido Popular Europeo		https://data.europarl.europa.eu/person/28390	Partido Popular	PP
88882	Mr	Victor	Negrescu			male	Ruman�a	Bucure?ti			https://www.europarl.europa.eu/mepphoto/88882.jpg	mailto:victor.negrescu@europarl.europa.eu		https://twitter.com/negrescuvictor		https://it-it.facebook.com/victornegrescu/	Ruman�a	Grupo de la Alianza Progresista de Socialistas y Dem�cratas	https://www.instagram.com/victor_negrescu/	https://data.europarl.europa.eu/person/88882		
23816	Mr	Andr�s	Gy�rk			male	Hungr�a	Budapest	1972-12-02^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/23816.jpg	mailto:andras.gyurk@europarl.europa.eu	https://gyurkandras.hu/hu/				Hungr�a	Grupo Patriotas por Europa		https://data.europarl.europa.eu/person/23816	Fidesz � Magyar Polg�ri Sz�vets�g - Kereszt�nydemokrata N�pp�rt	Fidesz-KDNP
96830	Ms	Enik?	Gy?ri			female	Hungr�a	Budapest	1968-07-17^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96830.jpg	mailto:eniko.gyori@europarl.europa.eu	https://gyori.fidesz-eu.hu/hu/	https://twitter.com/GyoriEniko	https://www.facebook.com/GyoriEnikoEP/		Hungr�a	Grupo Patriotas por Europa		https://data.europarl.europa.eu/person/96830	Fidesz � Magyar Polg�ri Sz�vets�g - Kereszt�nydemokrata N�pp�rt	Fidesz-KDNP
28122	Mr	David	Casa			male	Malta	Valletta	1968-11-16^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/28122.jpg	mailto:david.casa@europarl.europa.eu		https://twitter.com/DavidCasaMEP	https://www.facebook.com/DavidCasaMEP/		Malta	Grupo del Partido Popular Europeo	https://www.instagram.com/davidcasamep/	https://data.europarl.europa.eu/person/28122		
4267	Mr	Udo	Bullmann			male	Alemania	Gie�en	1956-06-08^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/4267.jpg	mailto:udo.bullmann@europarl.europa.eu	http://www.udobullmann.de/	https://twitter.com/UdoBullmann	https://www.facebook.com/UdoBullmannMEP/		Alemania	Grupo de la Alianza Progresista de Socialistas y Dem�cratas	https://www.instagram.com/UdoBullmann/	https://data.europarl.europa.eu/person/4267	Sozialdemokratische Partei Deutschlands	SPD
23788	Mr	Adam	Bielan			male	Polonia	Gda?sk	1974-09-12^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/23788.jpg	mailto:adam.bielan@europarl.europa.eu	http://www.bielan.pl	http://twitter.com/AdamBielan	https://www.facebook.com/adambielan		Polonia	Grupo de los Conservadores y Reformistas Europeos		https://data.europarl.europa.eu/person/23788		
101039	Mr	Paolo	Borchia			male	Italia	NEGRAR	1980-05-27^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/101039.jpg	mailto:paolo.borchia@europarl.europa.eu		https://twitter.com/paoloborchia?lang=en	https://www.facebook.com/PaoloBorchiaofficial/		Italia	Grupo Patriotas por Europa	https://www.instagram.com/paoloborchia/	https://data.europarl.europa.eu/person/101039		
96826	Mr	Tam�s	Deutsch			male	Hungr�a	Budapest	1966-07-27^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/96826.jpg	mailto:tamas.deutsch@europarl.europa.eu	http://deutsch.fidesz-eu.hu/	https://twitter.com/dajcstomi		https://www.facebook.com/people/Deutsch-Tam%C3%A1s/100000694338124	Hungr�a	Grupo Patriotas por Europa	https://www.instagram.com/dajcstomi/	https://data.europarl.europa.eu/person/96826	Fidesz � Magyar Polg�ri Sz�vets�g - Kereszt�nydemokrata N�pp�rt	Fidesz-KDNP
5392	Ms	Lara	Wolters			female	Pa�ses Bajos	Amsterdam	1986-04-12^^http://www.w3.org/2001/XMLSchema#date		https://www.europarl.europa.eu/mepphoto/5392.jpg	mailto:lara.wolters@europarl.europa.eu		https://twitter.com/larawoltersEU	https://www.facebook.com/larawolters0/		Pa�ses Bajos	Grupo de la Alianza Progresista de Socialistas y Dem�cratas	http://instagram.com/larawoltersEU	https://data.europarl.europa.eu/person/5392		
